Timestamp,What is your general opinion on the NSA?,How familiar are you with function of the NSA (United States National Security Agency)?,Where do you live?,How familiar are you with actions of Edward Snowden in relation to the NSA activities?,How would you judge your level of proficiency in using information technology?,Did the NSA revelations (information disseminated by Edward Snowden) change your opinion of the NSA?,Do you find NSA revelations concerning?,Did the NSA revelations increase your information security awareness?,,,
1.14.2015 23:01:44,Extremely negative,Reasonably familiar,USA,Reasonably familiar,Reasonably proficient,Slightly diminished,Very concerning,Decidedly increased,,,
1.14.2015 23:04:03,Slightly negative,Somewhat familiar,USA,Reasonably familiar,Reasonably proficient,Did not influence,Somewhat concerning,Somewhat increased,,,
1.14.2015 23:06:06,Decidedly negative,Reasonably familiar,Other,Very familiar,Very proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.14.2015 23:06:22,Decidedly negative,Slightly familiar,USA,Reasonably familiar,Reasonably proficient,Did not influence,Decidedly concerning,Decidedly increased,,,
1.14.2015 23:15:32,Somewhat positive,Somewhat familiar,USA,Reasonably familiar,Reasonably proficient,Did not influence,Not concerning at all,Not at all,,,
1.14.2015 23:25:22,Extremely negative,Very familiar,USA,Very familiar,Very proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.14.2015 23:26:17,Decidedly negative,Reasonably familiar,USA,Somewhat familiar,Reasonably proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.14.2015 23:27:45,Extremely negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.14.2015 23:30:09,Decidedly negative,Very familiar,EU,Reasonably familiar,Reasonably proficient,Did not influence,Very concerning,Decidedly increased,,,
1.14.2015 23:33:50,Extremely negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Greatly diminished,Very concerning,Somewhat increased,,,
1.14.2015 23:34:02,Extremely negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.14.2015 23:34:31,Decidedly negative,Very familiar,USA,Very familiar,Very proficient,Somewhat diminished,Very concerning,Somewhat increased,,,
1.14.2015 23:34:35,Neutral,Somewhat familiar,EU,Somewhat familiar,Very proficient,Did not influence,Not concerning at all,Not at all,,,
1.14.2015 23:40:19,Decidedly negative,Reasonably familiar,Other,Reasonably familiar,Reasonably proficient,Greatly diminished,Decidedly concerning,Somewhat increased,,,
1.14.2015 23:42:31,Decidedly negative,Reasonably familiar,Other,Reasonably familiar,Very proficient,Greatly diminished,Decidedly concerning,Slightly increased,,,
1.14.2015 23:48:23,Decidedly negative,Reasonably familiar,USA,Reasonably familiar,Reasonably proficient,Greatly diminished,Decidedly concerning,Somewhat increased,,,
1.14.2015 23:55:38,Slightly negative,Reasonably familiar,USA,Reasonably familiar,Reasonably proficient,Did not influence,Not concerning at all,Not at all,,,
1.14.2015 23:59:05,Decidedly negative,Very familiar,USA,Very familiar,Very proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.14.2015 23:59:22,Extremely negative,Slightly familiar,EU,Reasonably familiar,Very proficient,Greatly diminished,Very concerning,Slightly increased,,,
1.15.2015 0:03:01,Decidedly negative,Reasonably familiar,EU,Reasonably familiar,Reasonably proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.15.2015 0:03:33,Extremely negative,Reasonably familiar,USA,Reasonably familiar,Reasonably proficient,Somewhat diminished,Very concerning,Somewhat increased,,,
1.15.2015 0:04:54,Slightly positive,Very familiar,USA,Very familiar,Very proficient,Did not influence,Slightly concerning,Slightly increased,,,
1.15.2015 0:18:55,Decidedly negative,Somewhat familiar,USA,Reasonably familiar,Reasonably proficient,Greatly diminished,Decidedly concerning,Greatly increased,,,
1.15.2015 0:22:18,Slightly negative,Somewhat familiar,EU,Slightly familiar,Reasonably proficient,Slightly diminished,Somewhat concerning,Decidedly increased,,,
1.15.2015 0:23:11,Somewhat negative,Somewhat familiar,USA,Somewhat familiar,Very proficient,Somewhat diminished,Decidedly concerning,Somewhat increased,,,
1.15.2015 0:23:24,Slightly negative,Somewhat familiar,EU,Somewhat familiar,Very proficient,Slightly diminished,Somewhat concerning,Somewhat increased,,,
1.15.2015 0:29:30,Somewhat negative,Reasonably familiar,USA,Very familiar,Very proficient,Somewhat diminished,Decidedly concerning,Greatly increased,,,
1.15.2015 0:31:14,Extremely negative,Very familiar,USA,Very familiar,Reasonably proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.15.2015 0:35:15,Decidedly negative,Somewhat familiar,USA,Reasonably familiar,Very proficient,Greatly improved,Very concerning,Slightly increased,,,
1.15.2015 0:42:29,Slightly negative,Somewhat familiar,EU,Somewhat familiar,Very proficient,Slightly diminished,Somewhat concerning,Slightly increased,,,
1.15.2015 0:47:06,Decidedly negative,Somewhat familiar,USA,Reasonably familiar,Reasonably proficient,Greatly diminished,Decidedly concerning,Greatly increased,,,
1.15.2015 0:49:13,Slightly positive,Reasonably familiar,USA,Reasonably familiar,Very proficient,Slightly diminished,Not concerning at all,Somewhat increased,,,
1.15.2015 0:49:55,Extremely negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.15.2015 0:52:39,Slightly negative,Somewhat familiar,USA,Very familiar,Somewhat proficient,Somewhat diminished,Slightly concerning,Somewhat increased,,,
1.15.2015 0:59:00,Somewhat negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Somewhat diminished,Very concerning,Slightly increased,,,
1.15.2015 1:07:59,Slightly positive,Reasonably familiar,USA,Very familiar,Very proficient,Slightly diminished,Slightly concerning,Slightly increased,,,
1.15.2015 1:08:50,Extremely negative,Slightly familiar,USA,Somewhat familiar,Somewhat proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.15.2015 1:08:51,Somewhat negative,Somewhat familiar,USA,Somewhat familiar,Very proficient,Greatly diminished,Slightly concerning,Somewhat increased,,,
1.15.2015 1:15:55,Somewhat negative,Somewhat familiar,USA,Reasonably familiar,Reasonably proficient,Somewhat diminished,Decidedly concerning,Decidedly increased,,,
1.15.2015 1:16:14,Somewhat negative,Somewhat familiar,USA,Somewhat familiar,Reasonably proficient,Somewhat diminished,Decidedly concerning,Somewhat increased,,,
1.15.2015 1:22:22,Decidedly negative,Very familiar,USA,Very familiar,Reasonably proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.15.2015 1:23:43,Extremely negative,Not familiar at all,USA,Very familiar,Very proficient,Did not influence,Very concerning,Not at all,,,
1.15.2015 1:23:51,Decidedly negative,Reasonably familiar,USA,Reasonably familiar,Reasonably proficient,Greatly diminished,Decidedly concerning,Somewhat increased,,,
1.15.2015 1:30:39,Decidedly negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.15.2015 1:32:11,Slightly negative,Reasonably familiar,USA,Somewhat familiar,Reasonably proficient,Slightly diminished,Slightly concerning,Decidedly increased,,,
1.15.2015 1:33:51,Somewhat negative,Slightly familiar,Other,Somewhat familiar,Reasonably proficient,Slightly diminished,Decidedly concerning,Slightly increased,,,
