Timestamp,What is your general opinion on the NSA?,How familiar are you with function of the NSA (United States National Security Agency)?,Where do you live?,How familiar are you with actions of Edward Snowden in relation to the NSA activities?,How would you judge your level of proficiency in using information technology?,Did the NSA revelations (information disseminated by Edward Snowden) change your opinion of the NSA?,Do you find NSA revelations concerning?,Did the NSA revelations increase your information security awareness?,,,
1.21.2015 20:01:59,Extremely negative,Slightly familiar,Other,Reasonably familiar,Very proficient,Greatly diminished,Somewhat concerning,Decidedly increased,,,
1.21.2015 20:05:14,Neutral,Slightly familiar,EU,Slightly familiar,Very proficient,Slightly diminished,Somewhat concerning,Not at all,,,
1.21.2015 20:09:35,Extremely negative,Very familiar,Other,Very familiar,Very proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.21.2015 20:35:44,Extremely negative,Reasonably familiar,USA,Very familiar,Somewhat proficient,Somewhat diminished,Very concerning,Decidedly increased,,,
1.21.2015 20:38:08,Decidedly negative,Very familiar,USA,Very familiar,Very proficient,Somewhat diminished,Decidedly concerning,Somewhat increased,,,
1.21.2015 20:42:12,Decidedly negative,Slightly familiar,EU,Reasonably familiar,Very proficient,Greatly diminished,Decidedly concerning,Somewhat increased,,,
1.21.2015 20:44:31,Decidedly negative,Slightly familiar,EU,Reasonably familiar,Very proficient,Greatly diminished,Decidedly concerning,Somewhat increased,,,
1.21.2015 20:49:29,Somewhat negative,Slightly familiar,EU,Reasonably familiar,Reasonably proficient,Somewhat diminished,Somewhat concerning,Somewhat increased,,,
1.21.2015 20:57:23,Decidedly negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Did not influence,Decidedly concerning,Decidedly increased,,,
1.21.2015 21:01:25,Decidedly negative,Somewhat familiar,EU,Somewhat familiar,Reasonably proficient,Somewhat diminished,Very concerning,Decidedly increased,,,
1.21.2015 21:28:21,Decidedly negative,Very familiar,USA,Very familiar,Very proficient,Slightly diminished,Very concerning,Slightly increased,,,
1.21.2015 21:38:58,Extremely negative,Reasonably familiar,EU,Somewhat familiar,Somewhat proficient,Greatly diminished,Decidedly concerning,Somewhat increased,,,
1.21.2015 21:45:29,Decidedly negative,Reasonably familiar,USA,Very familiar,Very proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.21.2015 21:49:24,Decidedly negative,Reasonably familiar,EU,Very familiar,Very proficient,Greatly diminished,Decidedly concerning,Not at all,,,
1.21.2015 21:59:04,Slightly positive,Very familiar,USA,Reasonably familiar,Very proficient,Somewhat diminished,Somewhat concerning,Decidedly increased,,,
1.21.2015 22:29:21,Somewhat negative,Reasonably familiar,Other,Reasonably familiar,Somewhat proficient,Greatly diminished,Somewhat concerning,Slightly increased,,,
1.21.2015 22:31:01,Decidedly negative,Reasonably familiar,Other,Reasonably familiar,Very proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.21.2015 22:42:33,Slightly positive,Somewhat familiar,USA,Somewhat familiar,Reasonably proficient,Did not influence,Slightly concerning,Not at all,,,
1.21.2015 22:47:42,Neutral,Somewhat familiar,USA,Very familiar,Reasonably proficient,Greatly diminished,Somewhat concerning,Somewhat increased,,,
1.21.2015 22:48:24,Somewhat negative,Very familiar,EU,Reasonably familiar,Very proficient,Somewhat diminished,Somewhat concerning,Greatly increased,,,
1.21.2015 22:52:04,Extremely negative,Very familiar,BRIC countries,Very familiar,Very proficient,Greatly diminished,Very concerning,Greatly increased
1.21.2015 22:53:46,Somewhat positive,Not familiar at all,USA,Slightly familiar,Reasonably proficient,Greatly diminished,Slightly concerning,Not at all,,,
1.21.2015 23:08:37,Decidedly negative,Somewhat familiar,BRIC countries,Reasonably familiar,Reasonably proficient,Somewhat diminished,Very concerning,Greatly increased
1.21.2015 23:19:06,Somewhat negative,Somewhat familiar,EU,Somewhat familiar,Reasonably proficient,Slightly diminished,Slightly concerning,Not at all,,,
1.21.2015 23:22:23,Decidedly negative,Reasonably familiar,EU,Very familiar,Somewhat proficient,Somewhat diminished,Very concerning,Decidedly increased,,,
1.21.2015 23:28:12,Extremely negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.21.2015 23:51:18,Extremely positive,Reasonably familiar,USA,Very familiar,Reasonably proficient,Did not influence,Not concerning at all,Slightly increased,,,
1.22.2015 0:06:13,Slightly positive,Reasonably familiar,USA,Very familiar,Very proficient,Slightly diminished,Somewhat concerning,Greatly increased,,,
1.22.2015 0:09:19,Somewhat negative,Slightly familiar,Other,Very familiar,Slightly proficient,Somewhat diminished,Decidedly concerning,Greatly increased,,,
1.22.2015 0:10:36,Extremely negative,Somewhat familiar,Other,Reasonably familiar,Very proficient,Greatly diminished,Very concerning,Slightly increased,,,
1.22.2015 0:18:53,Extremely negative,Reasonably familiar,USA,Reasonably familiar,Somewhat proficient,Somewhat diminished,Very concerning,Decidedly increased,,,
1.22.2015 0:40:09,Extremely negative,Reasonably familiar,USA,Reasonably familiar,Slightly proficient,Greatly diminished,Very concerning,Decidedly increased,,,
1.22.2015 0:42:04,Somewhat positive,Reasonably familiar,Other,Reasonably familiar,Very proficient,Did not influence,Not concerning at all,Not at all,,,
1.22.2015 0:42:21,Neutral,Very familiar,USA,Reasonably familiar,Very proficient,Did not influence,Not concerning at all,Not at all,,,
1.22.2015 0:58:00,Decidedly negative,Reasonably familiar,USA,Somewhat familiar,Reasonably proficient,Greatly diminished,Decidedly concerning,Somewhat increased,,,
1.22.2015 1:02:13,Somewhat positive,Very familiar,USA,Reasonably familiar,Very proficient,Slightly diminished,Slightly concerning,Not at all,,,
1.22.2015 1:08:00,Extremely negative,Very familiar,USA,Very familiar,Very proficient,Somewhat diminished,Very concerning,Slightly increased,,,
1.22.2015 1:15:02,Slightly negative,Somewhat familiar,Other,Somewhat familiar,Very proficient,Did not influence,Decidedly concerning,Decidedly increased,,,
1.22.2015 1:15:41,Decidedly negative,Very familiar,USA,Very familiar,Very proficient,Greatly diminished,Very concerning,Greatly increased,,,
1.22.2015 1:45:43,Decidedly negative,Somewhat familiar,EU,Slightly familiar,Reasonably proficient,Somewhat diminished,Very concerning,Decidedly increased,,,
1.22.2015 1:55:26,Decidedly negative,Somewhat familiar,USA,Slightly familiar,Reasonably proficient,Slightly diminished,Decidedly concerning,Somewhat increased,,,
1.22.2015 2:14:01,Decidedly negative,Somewhat familiar,EU,Reasonably familiar,Reasonably proficient,Somewhat diminished,Very concerning,Somewhat increased,,,
1.22.2015 2:19:52,Decidedly negative,Reasonably familiar,USA,Reasonably familiar,Very proficient,Somewhat diminished,Very concerning,Decidedly increased,,,
1.22.2015 2:26:05,Decidedly negative,Slightly familiar,Other,Slightly familiar,Very proficient,Did not influence,Not concerning at all,Not at all,,,
1.22.2015 2:48:53,Decidedly negative,Reasonably familiar,USA,Very familiar,Very proficient,Did not influence,Decidedly concerning,Decidedly increased,,,
1.22.2015 3:47:57,Neutral,Reasonably familiar,USA,Reasonably familiar,Very proficient,Slightly diminished,Somewhat concerning,Slightly increased,,,
1.22.2015 3:56:25,Decidedly negative,Somewhat familiar,Other,Somewhat familiar,Reasonably proficient,Somewhat diminished,Very concerning,Slightly increased,,,
1.22.2015 4:40:41,Somewhat negative,Somewhat familiar,EU,Reasonably familiar,Very proficient,Greatly diminished,Decidedly concerning,Slightly increased,,,
1.22.2015 5:01:04,Extremely negative,Reasonably familiar,USA,Reasonably familiar,Somewhat proficient,Somewhat diminished,Very concerning,Greatly increased,,,
1.22.2015 5:11:29,Neutral,Slightly familiar,USA,Somewhat familiar,Reasonably proficient,Slightly diminished,Slightly concerning,Somewhat increased,,,
1.22.2015 9:54:06,Decidedly negative,Slightly familiar,USA,Somewhat familiar,Somewhat proficient,Somewhat diminished,Very concerning,Somewhat increased,,,
1.22.2015 10:20:31,Somewhat negative,Somewhat familiar,BRIC countries,Reasonably familiar,Very proficient,Somewhat diminished,Decidedly concerning,Somewhat increased
1.22.2015 11:21:24,Extremely negative,Very familiar,Other,Very familiar,Very proficient,Slightly diminished,Very concerning,Greatly increased,,,
1.22.2015 11:47:38,Decidedly negative,Somewhat familiar,EU,Slightly familiar,Somewhat proficient,Did not influence,Somewhat concerning,Slightly increased,,,
1.22.2015 14:31:18,Slightly negative,Reasonably familiar,Other,Reasonably familiar,Somewhat proficient,Slightly diminished,Slightly concerning,Somewhat increased,,,
1.22.2015 16:54:24,Slightly negative,Reasonably familiar,EU,Reasonably familiar,Very proficient,Somewhat diminished,Slightly concerning,Somewhat increased,,,
